"CATEGORIAINFERIOR","CATEGORIASUPERIOR"
"Alcoholic beverages","Beverages"
"American cuisine","Dishes"
"Amphibians","Aquatic foods"
"Animal fats","Fats and oils"
"Asian cuisine","Dishes"
"Baby foods","Baby foods"
"Baking goods","Baking goods"
"Beans","Pulses"
"Berber cuisine","Dishes"
"Berries","Fruits"
"Beverages","Beverages"
"Bivalvia","Aquatic foods"
"Bovines","Animal foods"
"Brassicas","Vegetables"
"Bread products","Cereals and cereal products"
"Cabbages","Vegetables"
"Candies","Confectioneries"
"Caprae","Animal foods"
"Cereal products","Cereals and cereal products"
"Cereals","Cereals and cereal products"
"Cereals and cereal products","Cereals and cereal products"
"Cetaceans","Aquatic foods"
"Citrus","Fruits"
"Cocoa","Cocoa and cocoa products"
"Cocoa and cocoa products","Cocoa and cocoa products"
"Cocoa products","Cocoa and cocoa products"
"Coffee","Coffee and coffee products"
"Coffee and coffee products","Coffee and coffee products"
"Coffee products","Coffee and coffee products"
"Condiments","Baking goods"
"Crustaceans","Aquatic foods"
"Desserts","Confectioneries"
"Distilled beverages","Beverages"
"Doughs","Cereals and cereal products"
"Dressings","Baking goods"
"Drupes","Fruits"
"Eggs","Eggs"
"Equines","Animal foods"
"Fats and oils","Fats and oils"
"Fermented beverages","Beverages"
"Fermented milk products","Milk and milk products"
"Fermented milks","Milk and milk products"
"Fish products","Aquatic foods"
"Fishes","Aquatic foods"
"Flat breads","Cereals and cereal products"
"Fortified wines","Beverages"
"Frozen desserts","Confectioneries"
"Fruit products","Fruits"
"Fruit vegetables","Vegetables"
"Fruits","Fruits"
"Gourds","Gourds"
"Green vegetables","Vegetables"
"Ground meat","Dishes"
"Herb and spice mixtures","Herbs and Spices"
"Herbal teas","Teas"
"Herbs","Herbs and Spices"
"Herbs and Spices","Herbs and Spices"
"Jewish cuisine","Dishes"
"Lagomorphs","Animal foods"
"Latin American cuisine","Dishes"
"Leaf vegetables","Vegetables"
"Leavened breads","Cereals and cereal products"
"Lentils","Pulses"
"Levantine cuisine","Dishes"
"Mexican cuisine","Dishes"
"Milk and milk products","Milk and milk products"
"Milk desserts","Confectioneries"
"Mollusks","Aquatic foods"
"Mushrooms","Vegetables"
"Nutritional beverages","Beverages"
"Nuts","Nuts"
"Oilseed crops","Herbs and Spices"
"Onion-family vegetables","Vegetables"
"Other aquatic foods","Aquatic foods"
"Other beverages","Beverages"
"Other breads","Cereals and cereal products"
"Other confectioneries","Confectioneries"
"Other dishes","Dishes"
"Other fruits","Fruits"
"Other milk products","Milk and milk products"
"Other pulses","Pulses"
"Other seeds","Herbs and Spices"
"Other vegetables","Vegetables"
"Ovis","Animal foods"
"Pasta dishes","Dishes"
"Peas","Pulses"
"Pinnipeds","Aquatic foods"
"Pomes","Fruits"
"Potato dishes","Dishes"
"Poultry","Animal foods"
"Pulses","Pulses"
"Roe","Aquatic foods"
"Root vegetables","Vegetables"
"Sandwiches","Dishes"
"Sauces","Baking goods"
"Seasonings","Baking goods"
"Seaweed","Aquatic foods"
"Shoot vegetables","Vegetables"
"Snack foods","Snack foods"
"Soy","Soy"
"Soy products","Soy"
"Spices","Herbs and Spices"
"Spreads","Confectioneries"
"Stalk vegetables","Vegetables"
"Substitutes","Baking goods"
"Sugars","Baking goods"
"Sweet breads","Cereals and cereal products"
"Swine","Animal foods"
"Teas","Teas"
"Tex-Mex cuisine","Dishes"
"Tropical fruits","Fruits"
"Tubers","Vegetables"
"Unclassified","Unclassified"
"Unfermented milks","Milk and milk products"
"Vegetable fats","Fats and oils"
"Vegetable products","Vegetables"
"Venison","Animal foods"
"Waters","Beverages"
"Wrappers","Baking goods"
